id,motExcl,nrProc,tpOper,tpAmb,aplicEmi,verAplic,nrInsc,iniValid,fimValid,planoCtaRef,freqEncerr,cCta,cCtaInterna,cDbrMista,nomeCta,indCta,descCta,cCtaSup,cCtaRef,nivelCta,natCta,codNat,codTrib,indTribISS,idLeiDisp,iniVig,fimVig
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,112346,1102,000,1.1.2.3.4.6,A,,,1102,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,112347,1103,000,1.1.2.3.4.7,A,,,1103,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,112348,1104,000,1.1.2.3.4.8,A,,,1104,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,112349,1105,000,1.1.2.3.4.9,A,,,1105,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123410,1106,000,1.1.2.3.4.10,A,,,1106,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123411,1107,000,1.1.2.3.4.11,A,,,1107,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123412,1108,000,1.1.2.3.4.12,A,,,1108,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123413,1109,000,1.1.2.3.4.13,A,,,1109,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123414,1110,000,1.1.2.3.4.14,A,,,1110,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123415,1111,000,1.1.2.3.4.15,A,,,1111,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123416,1112,000,1.1.2.3.4.16,A,,,1112,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123417,1113,000,1.1.2.3.4.17,A,,,1113,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123418,1114,000,1.1.2.3.4.18,A,,,1114,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123419,1115,000,1.1.2.3.4.19,A,,,1115,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123420,1116,000,1.1.2.3.4.20,A,,,1116,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123421,1117,000,1.1.2.3.4.21,A,,,1117,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123422,1118,000,1.1.2.3.4.22,A,,,1118,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123423,1119,000,1.1.2.3.4.23,A,,,1119,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123424,1120,000,1.1.2.3.4.24,A,,,1120,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123425,1121,000,1.1.2.3.4.25,A,,,1121,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123426,1122,000,1.1.2.3.4.26,A,,,1122,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123427,1123,000,1.1.2.3.4.27,A,,,1123,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123428,1124,000,1.1.2.3.4.28,A,,,1124,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123429,1125,000,1.1.2.3.4.29,A,,,1125,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123430,1126,000,1.1.2.3.4.30,A,,,1126,6,D,1,,,,2026-10-01,
DeRE10111234567820261001120000000000000001,,,1,2,1,dere-poc/0.1,12345678,2026-10-01,,1,A,1123431,1127,000,1.1.2.3.4.31,A,,,1127,6,D,1,,,,2026-10-01,
